Model,Souce,Comment,dependable,attractive styling,safe,drive comfort,prestigious,fuel efficient,affordable
Tucson,KBB,THIS TUSON HAS BEEN LIKE A LEMON. TROUBLE ALL THE TIME. BACK IN THE SHOP AGAIN.  THE SENSOR LIGHTS ARE ALL ON NOW. GOOD THING GOT 10YR-100 MILES WARRANTY.,0,0,0,0,0,0,0
RAV4,KBB,Great hybrid driving experience and fun to drive.,0,0,0,0,0,0,0
Escape,KBB,"Quiet, smooth",0,0,0,1,0,0,0
Bronco Sport,Cars,"This is by far the best vehicle I have ever owned,, it met all my expectations and then some, the head room, the leg room, the comfort and overall performance, Ford hit a home run with this baby Bronco.",0,0,0,1,0,0,0
CX-5,KBB,Excessive oil consumption,0,0,0,0,0,0,0
CR-V,KBB,The added luxuries. The stereo is really loud/good,0,0,0,0,0,0,0
Tucson,KBB,"I own this car for almost 2 years, we like travel with the family, is fun to drive and enjoy also kids love the panoramic sunrood and good looking car, great overall!",0,0,0,1,0,0,0
Sportage,KBB,It's a great vehicle but the Kia customer service is extremely poor on all levels.,0,0,0,0,0,0,0
CX-5,Edmunds,Comfortable,0,0,0,0,0,0,0
CR-V,KBB,Love this car…my second one…best bang for your buck. I’m not a big or tall guy and fit very comfortably in drivers seat.. I got the EX middle of the line model and the price was excellent and affordable…just have what I need and use daily…,0,0,0,1,0,0,1
Bronco Sport,KBB,Fun to drive. Very comfortable.,0,0,0,1,0,0,0
CR-V,Edmunds,"When my BMW X3 lease was up, I needed the affordability of the CR-V.  I went with the EX-L so I could enjoy some of the same amenities I was accustomed to in my X3. I love the leather seats and warmers.  The sunroof is a plus.  I’m very impressed with the size. The CR-V has much more legroom in the back seat. It’s easy for little ones to climb into. The rear cargo area fit all of our luggage for a family of 4 road trip. Eventually we may need something bigger, but this is suitable for now.  I love the gas mileage and efficiency. The adaptive cruise and lane keep assist are new to me, and I love these features on a long road trip. The infotainment system has given me no trouble and Apple Car Play is great to have. I love the extra USB ports. They definitely come in handy for charging multiple devices. 

I’ve driven literally every car in this class, and the CR-V has been my favorite by far. Though it can’t compete with the performance and experience of the X3, it has some punch - more than expected. Overall this is a great car for getting the job done safely and affordably!",1,0,1,0,0,1,1
Equinox,KBB,Styling.,0,0,0,0,0,0,0
Equinox,KBB,Love the mileage at 29 mpg average.,0,0,0,0,0,0,0
Escape,KBB,Love the mileage at 29 mpg average.,0,0,0,0,0,0,0
CR-V,Cars,We really like the color and the room that it has. We like the deal we got and look forward to the service over the next few years.,0,0,0,0,0,0,1
Bronco Sport,Edmunds,Omg the best vehicle i have Ever Owned...so excited,0,0,0,0,0,0,0
RAV4,KBB,This is the noisiest vehicule I have ever owned. Step on the gas to pass and Wow. Seems like the engine wants to rip out of the car. Other than that I like the car. But I much prefered  my 2018 Rav 4. Regret changing.,0,0,0,0,0,0,0
CR-V,Cars,Hondas are great cars.  This is my 4th Honda.  All of which where excellent cars. Never put expensive repairs on any of the cars I've owned.  Two of my previous cars were kept for 9-10 years each.  I plan on keeping this new for at least that long as well.,0,0,0,0,0,0,0
Tucson,KBB,Looks nice,0,1,0,0,0,0,0
RAV4,KBB,"Very hard to buy one I wanted a new one and dealers would not sell to out of state buyers.  I bought one new from Carvana had to drive to Raleigh NC to get it.  I was determined to buy this car.  I had a charge station installed so it was ready when I got the car (the charge product was a ""Juice Box 32"" which charges the car just fine.  With charge station it will go from 0% to 100% in about 4+hours.  If you just drive locally the meter says it will go 45 miles on a single charge.  I wanted the XSE but had to settle for an SE.  I plug it in at night and it ready to go the next day.  If you can find one buy it I paid about $5K over MSRP used I am a very happy person.",0,0,0,0,0,0,0
Forester,KBB,"I purchased November 2019, oyster (off-white) pearlcoat w/black interior, as a dealer demo model. It has all of the bells & whistles available. The dealer said it was in a ""minor"" accident before I got it, and the dealer discounted it about $9K to move it. The accident reportedly caused both rear quarter panels to be replaced, also had to replace the gate, seems pretty significant to me. 

The engine feels about right, it has a lot of features that are really nice. It's strong, the CVT is smooth. Towing capacity is only 1500 lbs. so it would have to be a very light trailer; I did add a hitch receiver for a bicycle rack. I added aftermarket load crossbars for my kayak, the Subaru-brand ones were ridiculously overpriced.

On the highway, it feels solid, stable, with little body lean in turns, tracks well, fairly quiet for this class. The cruise control and driver monitoring are great. Visual warnings for passing vehicles, active lane control, cruise control keeps you at your selected distance from the car ahead quite well. 70mph cruise nets about 34mpg, not bad. Gentle driving in town nets about 28mpg.

Infrequently, but remarkable nonetheless: in traffic, lane changes causes the cruise control to make the engine to roar up to 4000 rpm & seems to be closing on the car ahead too fast, then hard braking and order restored, but it's unsettling. Mostly, it's benign.

The auto-engine off feature needs work on the algorithm. It comes on about 30% of stops. By contrast, my wife has a same-year CRV stops the engine 90% or the time.

I don't notice any changes driving when I loaded it down with sand & rocks, except coming over a bump felt different.

Infotainment system works well, but it's best to get things set while parked, because it's not easy, trying to change while driving. Subaru should have a class about how to use the vehicle. The owner's manual etc. is a brick, and there's four different manuals incl. the main one and the ""quick start"" version.",0,0,0,1,0,-1,0
RAV4,KBB,Little bit underpowered for what it could be.,0,0,0,0,0,0,0
Escape,KBB,"No CD player, had multiple problems",0,0,0,0,0,0,0
Rogue,Cars,"This car meets all my needs. Has a good price, reliable, propilot assist, cameras, SOS. NissanCOnnect, Sunroof... many more feature for the MSRP. Will highly recommend this car.",1,0,1,0,0,0,1
Tucson,KBB,Perfect car for all purposes. One of the best cars and value I've ever owned. It is super quiet in the cabin with plenty of room for all passengers and lots of storage in the back . Factory warranty is one of the best in the business. I have had no problems with this car at all.,1,0,1,1,0,0,0
CR-V,KBB,"I own a Touring so it’s fully loaded. I love my sun roof. I have added things in the car such as; TVs in the head rest, car locator, radar detector, electric and a car starter. I have owned the car for six months and completely love it. I call it my Mercedes. Things that scare me is lane assist and the braking system when it to detects that you’re not driving safely. So far I would not change anything about this car and I’ve had no problems. However, I did get the extended warranty not everybody could afford it though. But I would definitely recommend it.",1,0,0,1,0,0,0
RAV4,KBB,I have had my Toyota for 3 years now and I thoroughly enjoy driving it.  It has been a Winner in my book!,1,0,0,0,0,0,0
Rogue,KBB,"I purchased this car 4 months ago and have had No Mechanical Problems. What I don’t like is that there are way too many bell’s & whistles. It has taken me several months to turn off the warning buzzers & alerts. I really dislike not being able to shift into park when you stop…everything is all electronic. The touch screen info system is often unresponsive which makes a change difficult when driving. There is a LOT of wind/ road noise T 60mph. At 1,000 rpm the steering wheel vibrates. The dealer said it is “normal”.  Just not satisfied for $31,000.",0,0,0,-1,0,0,0
CX-5,KBB,Compact suv,0,0,0,0,0,0,0
Rogue,KBB,"Premium interiors, near hybrid level fuel economy",0,0,0,0,0,1,0
CR-V,KBB,"We bought a 2017 CRV touring about 2 weeks ago. Took a trip to Jacksonville Florida from Maryland last week. Round trip was about 1500 highway miles. Its winter so no AC was used.  We have 2200 miles on it right now and we are getting 26.1 mpg and its going down. Its suppose to get 29 combined. 26 is not bad but when your expecting 29 its not good. We traded a 2016 CRV in and that was getting 24, it was suppose to get 27.
   We love everything else about it. The redesign inside and out is so much better than the 2016. It looks like a real SUV now. The leather seats are very comfortable. There is plenty of room in the backseat. There are a lot of nice safety features
   But if your looking for the 29mpg i dont think you will get it.",0,-1,0,-1,0,-1,0
RAV4,KBB,Reliability,0,0,0,0,0,0,0
RAV4,KBB,I wish the engine ran a little quieter. I ha e to,0,0,0,-1,0,0,0
Forester,KBB,Top of the line with every safety feature,0,0,1,0,0,0,0
Forester,KBB,Showing 15 of 60 reviews.,0,0,0,0,0,0,0
RAV4,KBB,No cons,0,0,0,0,0,0,0
CR-V,KBB,"I own a Touring so it’s fully loaded. I love my sun roof. I have added things in the car such as; TVs in the head rest, car locator, radar detector, electric and a car starter. I have owned the car for six months and completely love it. I call it my Mercedes. Things that scare me is lane assist and the braking system when it to detects that you’re not driving safely. So far I would not change anything about this car and I’ve had no problems. However, I did get the extended warranty not everybody could afford it though. But I would definitely recommend it.",1,0,0,0,0,0,0
RAV4,Edmunds,"I've always driven General Motors vehicles but in March 2021, I decided to give Toyota a chance after hearing wonderful things about the Rav4.  After having the car for less than one month, I was at a stop light - completely stopped - and my car lunged forward TWICE and hit the car in front of me.  While at the body shop, the technician was pulling the car around and had his foot on the brake and said the RMPs went up and the car lunged again.  I immediately reported it to Toyota after the first incident.  They sent someone to the body shop to perform diagnostic tests.  The test was completed on 4/14.  I reported the second incident on 4/27 (immediately after it was reported to me) and was told they could not do anything until the Toyota engineers review the diagnostic test data.  To sum it up, I have a brand new car that I have not driven since 4/1/21 because I do  not feel it is safe to drive.  Neither my salesman at Van York or Toyota have been of any assistance.",0,0,-1,0,0,0,0
Escape,KBB,"Have driven this car for a year. Love it,
Want to buy it. Good looking car. 
Want quote to see if worth buying.",0,0,0,0,0,0,0
CX-5,KBB,Everything!,0,0,0,0,0,0,0
Escape,KBB,Love to drive it,0,0,0,0,0,0,0
Rogue,Cars,Car has many features that I was looking for.  Comfortable ride and easy to handle.  Controls are easy to reach and understand.  Video provided by Nissan is a great help in understanding the systems.,0,0,0,1,0,0,0
CR-V,Edmunds,"They do not discount theses vehicles much below MSRP.  But, still a great value.  Great ride, great handling and great gas mileage, around 34 mpg.",0,0,0,0,0,0,0
CR-V,Cars,"Great car, long time Honda owner, owned Toyotas, Fords,Jeeps,Chevys, and several other models but can't beat Hondas for comfort, reliability, quality.  All Honda dealerships have excellent service departments especially ""Honda Of Covington (Louisiana)""",1,0,0,1,0,0,0
CX-5,KBB,Sporty interior and exterior. Options,0,1,0,0,0,0,0
Tucson,KBB,I still owe that much.  Value should be higher.  Could not sell for that. Hardly used at all.  Only owner is 80 years old,0,0,0,0,0,0,0
Escape,KBB,"Made this post on 11/10/2021.... Update to that post... my car is STILL in the shop. Today is 12/7/201. Tech just called back stating it was my transmission.  :(  Still not sure of why the blind spot keeps coming on when nothing is there. Totally wish i never got this car. 


We just purchased the 2022. Drove it off the lot with 30 miles on it. Two days after we drove it off the lot, we noticed the driver side blind spot light kept coming on when nothing was on the side of the car.. brought it to the dealership, and they said nothing was wrong with it, they drove it down the road, didn't see a light come on and they couldn't pull any codes. As soon as i drove it away the stupid light came on again, and still 2 months later coming on and off with no reason. Two nights ago i got off the interstate and the car started making this loud noise coming from the engine/trani. Never a noise that i have ever heard in my life. Had barley any power. I came to a stop light and went to go and it started bucking. I barley made it home. Tow truck had to come get it and it's now sitting at the dealership waiting to get looked at. The back seat is super super small. We have three kiddos and between the car seat for my 3 year old, our 12 year old, and 7 year old there is no room at all! My two older kids are having all they can do to not sit basically on top of each other. (maybe being a tad bit dramatic, but it's wicked small.) We also travel for hockey... 2 hockey bags in the back?... forget it. Only one is going to fit, unless you have someone in the back seat holding the second hockey bag so the back door shuts. You then can't see out your back window.. Hockey sticks... i don't know how we fit those in as well... someone is usually getting hit in the head with one. The side view mirrors are stupid small. The bucket seats are okay in the front... but if you're a little bigger like myself it can be uncomfortable with the back fat rolls. The auto head lights are nice, but they also go back and fourth from seeing a reflection off a stop sign/speed sign. The auto stop.... you can actually shut that off, which is really really nice!! The pull down sun shades.. SUPER SHORT and doesn't block out any sun off your face unless you're a tall person with your head almost touching the top of the car. The Bluetooth.. i have my phone connected as the main phone, but every time my son or husband gets in, it connects all three of ours? GPS... you can't use it unless you pay for OnStar or whatever it is.. My old car used to read my text messages for me when i'm driving.. this one does not... that really sucks. 12 gallon tank.. really sucks.",0,0,0,0,0,0,0
RAV4,KBB,Not much,0,0,0,0,0,0,0
CR-V,Cars,"This SUV met all of my needs. It’s very spacious and comfortable riding as a driver or a passenger.  Great on gas. Quality, cost of ownership, and Reliable is what I was looking for and exactly what I got after signing my paperwork and driving off the car lot.",1,0,0,1,0,1,0
CR-V,KBB,I enjoyed the heated seats and driving it.,0,0,0,1,0,0,0
Equinox,Cars,"This is a great replacement for a van that was now too large. Still able to carry 5 passengers in comfort. The van was good but no longer needed 7 passenger capacity.  Love the new features on the Equinox, still getting used to them. Great vehicle so far.",0,0,0,1,0,0,0
RAV4,KBB,Showing 15 of 263 reviews.,0,0,0,0,0,0,0
Forester,Cars,"This is my 6th! Subaru.  I happen to lease every 3 years.
They have updated 2021 Forester.  Larger and more styled
which I appreciate while keeping safety at its core.",0,0,0,0,0,0,0
CR-V,KBB,none,0,0,0,0,0,0,0
Equinox,KBB,"The seat heater only has one switch for back rest and seat, seat gets hot back does not. On*star cannot store phone numbers. Most terrible ride of any car I ever own. Auto stop is Irritating.",0,0,0,0,0,0,0
Tucson,Cars,Great suv. I have enjoyed driving it so far. Plenty of room. Looks great. Good value for the price. Would recommend to friends and family.,0,0,0,1,0,0,1
Forester,Cars,"I just purchased my 2021 Subaru Forester Limited which has a lot of options. aI only have 101 miles on it. I'm am 4'9"" and I can see over the steering wheel without being on top of the wheel.  The features seam awesome, and I love the power liftgate. It rides excellent.  I am very happy with this car so far.",0,0,0,0,0,0,0
CX-5,KBB,"This vehicle has presence . When you look at , it is balanced and looks great from all angles . Once inside , it honestly reminds me of the Porsche Cayenne / and others ( as I sold them for a few years ) The stitching and well thought out transitions on the dash layout are clean , tight and impressive . It comes off as a vehicle 2x the price .This year it has new seats and they are great . Spent hours in the saddle and spot on support , lumbar , and able to find a  position that gives me confidence in my ability to see all around . Smooth , crisp steering thats perfectly weighted with just the proper amount of understeer . Hey its a Mazda and driving enjoyment is priority #1 / and the new 2022 / they nailed it ! The transmission is 6sp and just effortlessly flips through every gear as if it knows what you need . Just silky imput combined with very sennsitive throttle response - I mean super sensitive ! It took me 3000 miles to learn how to manipulate the engine / trans synergy as its that touchy - I was driving my old 2010 Mazda 3 GT Hb - 2.5 - which is still tight as day 1 with 145k on it - sprung like an indy car - so the CX-5 threw me off -  why - Well its not a stripped go cart like my 3 but it has clearly moved into another realm . With the only 13/1 compression ratio engine Ive seen in any suv - that translates to super high conpression and feedback - which I mistook for being jumpy , or bucking when i let of the gas - no it was me ! I needed to learn to drive this ultra precision instrument - a scalpel of an suv - and once we got together on pressures and imput , its a symphony -I didnt want a hybrid as the mileage can go up to 35 fwy on this guy with awd !  But the other reason I wanted this CX-5 , is Ive been around and had many new cars - and realize that times are changing . To find a real gerabox ( NOT A CVT ) and a high compression gas combustion only driveline with it ...is rare and almost gone , Mazda has taken the true auto gearbox to its highedt level with the skyactive awd trans , and done the same with a phenomonally tuned naturally aspirated high compression 4 thats got great real world torque from very low rpms , where , lets be honest , we do most of our driving in todays world . You want more hp , go with turbo ( which drops the compresson ) - but I didnt - I just wanted old school stuff taken to the highest of the high level - and Mazda delivered - 100% statisfied !
Carbon edition here - red leather - only complaint  , no bose on CE trim -but - Its ok - I know its a Mazda as Ive had many and they all have the same attributes,  You feel like you never want to stop driving or when home , want to go drive again , and they feel hand built - not like any other cars on the market - and I have driven them all - or dang near close - Mazda gets one thing , they dont rely on dropping a huge amount of horsepower to trick you into liking the car. ~ no / They build a car thats well rounded, precision , that sneaks up on you after you own it and then one day , go , ah ha ..I get it -  The miata is a very good example of the same principle they use in all their cars - its under 200 hp but one of the top 10 sports cars in the world , year after year after year ?  - Why is that ? Theres so many sports cars with tons more power ...so why ? Its because its about the balance of all things that the car is - combined to be and act as something that feels like one beautifully well rounded instrument of driving joy - This CX-5 is that and as well the finest Cx-5 to date.
If you dont want a hydrid , this may be the last year to get one without - 
Love the 19"" wheels and blacked out rims on CE edition - 
I think the CX-5 is #1 in its class ( small suv ) but the "" expert "" reviewers are taking PR $$ from other companies to get their new whatever as "" best "" in class -  ok , ok ,  The CX-5 is not huge inside , good its only my wife and I , and its a bit "" firm "" in the suspension for gramma /. yeah yeah - good , spring it tighter ! , these are just excuses - Do you want an suv that was just "" redesigned "" or that gets best because its first year and the engineers made sure they took every caragory and made it 1/2"" bigger or has 12 more hp or 5 more cu ft of cargo space .?  You see my point - these other suvs are competing with each other - MAZDA is in a class by itself and they built it to be the way it is for a reason - not to beat kia or the rav 4 in cargo space or price or 3 extra hp - MAZDA builds the cars to be great in thier own right - If you are a bean counter / stay the heck away from the Mazda family - these cars have souls - 
Last note - not unlike the porsche 911 - the CX-5 is coming up on 10 years I believe - and MAZDA has taken the same car each year and worked the kinks out of it , making it better snd better and better - this means it looks only slightly different , but has been engineered to be more reliable and more refined each year -  It gets knocked by critics because its not newly fully redesigned -   well this may be the last year of the same design before a big change - So do you want a first year car that might have issues or recalls , or a car thats been continually improved over years and years ??  Not for everyone - but definitly for me - Also , worth a second mention , most suvs in this catagory have CVT transmissions -  Continuously Variable Transmission -   in other words , it does not have stepped gears , its like stepping on a sponge , not crisp and they try to trick you with CVTs saying you can use it like a regular transmission -  bs /. they are just cheaper to build and dont last as long - plus they just dont deliver a great experience /.  Ask when comparing , or look at what type of transmission the suv you are looking at has - Then look at the cross section of a Skysctive Mazda transmission -  nothing cheap about it !",0,0,0,0,0,0,0
RAV4,KBB,"Great mpg, fun to drive, comfortable",0,0,0,1,0,0,0
Tucson,KBB,Perfect condition. Low mileage. Barely used. Ready to drive. This car can be available within a day notice. Price is negotiable.,0,0,0,0,0,0,1
RAV4,KBB,Seems to be made for short people.,0,0,0,0,0,0,0
RAV4,KBB,Fun to drive!,0,0,0,0,0,0,0
Tucson,KBB,Design needs work,0,0,0,0,0,0,0
Sportage,KBB,not as quiet as a cadillac but not bad,0,0,0,0,0,0,0
RAV4,KBB,NONE,0,0,0,0,0,0,0
Equinox,KBB,"It's a good choice for the price. Could be a little hard to drive because of the turbo lag. Excellent front lights bright. Basic radio it so basic, upgrade highly recommended.",0,0,0,0,0,0,1
Equinox,KBB,nothing,0,0,0,0,0,0,0
Tucson,KBB,"Very intuitive Car! Beautiful car styling and love the mohave sand color. Power everything, and the automatic lift hatchback is amazing. Everything about this car is smooth. Big car feel on the inside with midsize car handling abilities. Great features across the board. GREAT gas mileage. Super happy with my Tucson!",0,1,0,1,0,0,0
Equinox,Cars,It has everything we need in it it is the largest vehicle I have ever had I usually drive Chevy cars but I am truly enjoy it and it fits all of our needs,0,0,0,1,0,0,0
RAV4,KBB,Showing 15 of 263 reviews.,0,0,0,0,0,0,0
Tucson,KBB,"The size is good, I just don't like the plain-looking hatch in the back. The weels and front end look ok. It could use some better performance driving",0,0,0,0,0,0,0
RAV4,KBB,"I've owned a lot of cars in my time but this is by far my favorite. It handles well, rides smooth, and is so quiet on the highway. Super comfortable--and the mileage can't be beat. Love my new Rav4 Hybrid!",0,0,0,1,0,0,0
CR-V,KBB,Love this car…my second one…best bang for your buck. I’m not a big or tall guy and fit very comfortably in drivers seat.. I got the EX middle of the line model and the price was excellent and affordable…just have what I need and use daily…,0,0,0,1,0,0,1
Escape,KBB,Vince Serna at Autonation Chevy in Coral Gables was great his service was great and the store was great,1,0,0,0,0,0,0
Equinox,KBB,Love to drive it,0,0,0,0,0,0,0
Tucson,KBB,Radio speakers are not good...,0,0,0,0,0,0,0
Sportage,KBB,"Very comfortable seats, especially in the mountains. Quiet. No engin noise. Solid feel, especially on the highway.  Good gas mileage with economy mode. Rear seats recline.  Nice feature on a road trip. Info system is good. Turn by turn navigation,  hands free phone is great.",0,0,1,1,0,1,0
Rogue,KBB,Not class leading horsepower numbers,0,0,0,0,0,0,0
CR-V,KBB,Excellent design. 1.5L turbo 4 cylinder a must.,0,1,0,0,0,1,0
CR-V,Edmunds,Love my new Honda CR-V Touring.  Great vehicle...,0,0,0,0,0,0,0
Equinox,KBB,"Quiet, smooth",0,0,0,1,0,0,0
CX-5,KBB,Sharp driving experience,0,0,0,0,0,0,0
CR-V,Cars,"It’s a safe car that’s easy for me to learn and has all the safeguards to make me feel secure in my daily trips.  I love all the safety features and how pretty it is, comfortable, good viewing and I feel safe in this car.",1,1,1,1,0,0,0
Tucson,Cars,"After considering other similar models from other manufacturers and different sizes from Hyundai, we chose the Tucson for value and design features. I really love it so far (only a couple of days). This is my first Hyundai and I am very happy with my purchase including the process with the dealership and the vehicle.",0,0,0,0,0,0,0
Escape,Cars,"Comfort is a tad under par for me, as I am not getting any younger.",0,0,0,1,0,0,0
Escape,KBB,nothing,0,0,0,0,0,0,0
Bronco Sport,Edmunds,"I’ve had my Big Bend edition and simply LOVE it. Ford really nailed the perfect mix of fun, utility, and super fun feel good vibe. Even though mine has the smaller engine it has plenty of power and pickup. Everywhere I go people stop and admire it. It has an excellent driving height so you can see the road great. Admittedly, if I’m ever on the sand it’s because I got lost, but having so many GOAT modes is a nice touch.",0,1,0,1,0,0,0
RAV4,KBB,"The Toyota Rav 4 is great for around town driving gets about 38 miles on a full charge
doing 65 MPH. I guess it would get 42 miles doing 55 MPH. On longer trips the RAV 4  Gets
35MPG doing 70 MPH. I guess it would get 40 MPG Doing 55 MPH. When the RAV 4 runs out of electric the motor automatically starts and take over you do not feel the difference except for some engine noise. The Rav 4 Runs smooth and has great power rated at 302 horsepower.
The engine can be a little noisy some times. It has plenty of cargo space in the rear and
seats 5 comfortably.",1,0,0,1,0,1,0
Forester,KBB,Excellent visibility,0,0,0,0,0,0,0
RAV4,KBB,"We bought this beautiful 2021 Hybrid Limited Rav4. The next day... it didn't start! Called Roadside assistance, they jumped it, we took it to the dealership, they didn't find a problem. Two days later, the car didn't start, called roadside assistance, they jumped the car. Next day, the car didn't start, called roadside assistance and got it towed to the dealership. Within a week, we called roadside assistance 3 times. Needless to say, it is a beautiful car, but something is draining the battery. It is NOT a reliable car, please don't be fooled and lured into buying it. You don't want to be in our position right now, so that is why I am writing this. It is a horrible feeling to be stuck and stranded, even the keyfob wasn't working. No, it is not us forgetting to the shut the door, or keeping a light on. All the lights, radio, defroster everything is turned off before we shut the car off, but it is as if the car isn't shutting off?  We started videoing and recording this too as evidence. Toyota needs to read these reviews and take them seriously before consumers take actions towards them. They need to check the customers who have called for roadside assistance in the last few months and see the evidence there too and take action and do right by their customers versus waiting for them to take action first.",0,-1,0,0,0,0,0
RAV4,KBB,"Buying a 2021 RAV-4 was one of my dreams as a Camry owner for 10 years.. and with whatever Camry offers i was led to believe RAV-4 would offer far more options.. decided to buy the XLE model knowing its the luxury model..!! but guess i was WRONG.
after making the deal and driving the car home.. discovered no options from the ones i have in my 2009 LE Camry exist in the 2021 XLE RAV-4....
the trunk doesn't open from inside.. you cant remote lift trunk gate.. no rain sensing wipers.. all the basic stuff are not there and they calls it XLE.
called dealer back and the reply was all these EXTRAs comes in packages for me to pay for which put me in shock till today. not happy at all.",0,0,0,0,0,0,0
Equinox,Cars,I wanted a SUV many years ago.... I've looked at other vehicles over the years  but keep coming back to the Equinox!  I love the style and plenty of room for family. It comes standard now with all the newest safety features and is so reliable.  Technology is so easy to adapt to any phone Apple or Android!,0,0,0,0,0,0,0
CR-V,KBB,Cabin sound level. Fuel economy not as advertized,0,0,0,0,0,0,0
Rogue,Edmunds,I just bought this car and have had it for 32 days and the computer is making the service light come on. I just took it to the dealer and they said the entire computer needs to be changed and is why the check engine light keeps turning back on.,0,0,0,0,0,0,0
Forester,KBB,"So pretty, everyone comments on it. Love Subarus!",0,1,0,0,0,0,0
Escape,Cars,Owned. And,0,0,0,0,0,0,0
RAV4,KBB,No cons,0,0,0,0,0,0,0
RAV4,KBB,Loved driving my car!!!,0,0,0,0,0,0,0
CR-V,Edmunds,So far 5000 miles it has performed well except mpg lower then advertised 27 mpg but should be higher then that,0,0,0,0,0,0,0
Escape,KBB,Love the mileage at 29 mpg average.,0,0,0,0,0,0,0
Bronco Sport,KBB,"I absolutely love this car. I am an outdoorsy person and am in the mountains a lot. This offers everything I need in a car for my adventures. Its great at climbing (not hard-core climbing), its great in snow, its great on the highway. It offers amazing safety features and has already saved me from a collision with a deer on the highway with its auto braking system. It offers plenty of space for gear and extra passengers as well as my dogs. The convenience features are just phenomenal. The gas mileage is wonderful for its class. Its totally reliable and I know no matter where I am traveling we will be fine whether on the highway, off road, snow or rain we're safe and will get there without issue.",1,0,1,0,0,1,0
Rogue,Cars,Great technology in features provided. Styling is impressive. Car looks great both inside and outside. Pricing was very competitive when compared to other car brands with vehicles in this class.,0,1,0,0,0,0,1
RAV4,KBB,Fun to drive!,0,0,0,0,0,0,0
CX-5,KBB,Needs more HP/poor around town MPG!,0,0,0,0,0,0,0
Equinox,Edmunds,I rented a 2021 Equinox for a week.  Was pleasantly surprized it did everything well. The 4 cyl engine had me fooled it was a V6 until I opened the hood - its got V6 levels of quietness & smoothness.  The ride was as smooth & quiet as a Malibu or Camry - much smoother & quieter than several Toyota Rav4's I have rented.  The transmission was silky smooth (unlike the jerky Rav4). The vehicle tracked straight on the highway.  The AC was cold.  Cannot think of any faults other than the seat bottom could use more padding and the fuel economy is 4 MPG worse than the Rav4,0,0,0,0,0,0,0
