Model,Souce,Comment
Rogue,Cars,As a 51 year old empty nester this vehicle seems to meet all my needs. No longer need a bigger SUV or minivan. Took me a little while to come to that realization but I’m glad I didn’t buy anything larger. Very quiet and comfortable and I get about 33 MPG commuting to the office and back. Family members with CR-Vs and Outbacks are very impressed with this new design. Check it out.
Rogue,Cars,"At first I had no problem with my brand new Rogue, but six weeks after driving the car shut down in my driveway. Information such as “Headlight malfunction, apply parking break. “ remained on the dashboard. The car couldn’t start, had to get a jump. The next morning I took the car to the dealership and after 4.5 hour was told that my ECM was defective and need to be replaced. Don’t they test the cars before selling them. I am so unhappy right now. I feel that this should never have happened. Used car , I understand but brand new car an explanation should be given."
Rogue,Cars,This car is awesome!  I love the ride!! I love the gear shift!  I love the comfort!   Lost some hatch but vehicle is awesome!!! 10 stars!!!
Rogue,Cars,This Rogue met all my needs. It is very comfortable to drive. I like that the rear door opens all the way 90 degrees. It has a great sunroof. Love it
Rogue,Cars,"A beautiful car, but with some annoying problems:
- Shaking / vibrating when driving or accelerating slowly. 
- The hand break stays on regularly when I start driving - for a few seconds, making the engine roar. Won’t get off even if I try to turn it off (and it is supposed to go off automatically).
- Stop hold feature: I love the idea, as I have knee problems and it releases tension in my right knee, but for some reason, when I stay on it for a while (e.g. at the drive thru), it doesn’t come off when I try to drive again. When this happens, I need to stop the car, turn it off, and  turn it back on... Can be dangerous in some situations. Also: the Cruise control with Pro Pilot is a bit scary, as when the car before me changes lane, it starts accelerating way too fast to reach the set speed now that the obstacle is gone. I usually turn it off to control my acceleration on my own. I was driving a 2017 Rogue before, and I felt safer in my old version, by far."
Rogue,Cars,I went with the new Rogue because of its updated  restyling and based upon Nissan’s reputation for  performance and reliability. I am looking forward to a pleasant experience.
Rogue,Cars,"This is by far the most advanced and tech equipped vehicle I've ever owned. Very good , well thought out features and roomier that previous models. Economical so far and very comfortable seating as well as driving. Excellent sound system."
Rogue,Cars,"I purchased this Rouge Platinum for a daily driver with good gas mileage. I am 6' 2""  my 6' wife and our kids are 6' and 5'3"" and we fit comfortably with no complaints. This is our fifth Nissan we currently on a 2019 Armada and I expect the same reliability that we have had with the others.   Coming for a lifted Toyota Tundra I can drive back and forth to work for almost 2 weeks on a site tank of gas as to wear the Tundra went through a tank a week. I can't say enough good things about this SUV."
Rogue,Cars,Crown Nissan is the best dealership and has the best vehicles. Love my new Rogue. All the features and comfort makes driving a pleasure. Easy to drive and rides smooth.
Rogue,Cars,It’s what I was looking for. An AWD that is comfortable and gets great gas mileage. Plus all the other great features the Rogue has.
Rogue,Cars,"It full film my requirements and features that I need to drive safe and comfort , on the road make me happy an like it"
Rogue,Cars,My wife loves her new Rogue. She says it has plenty of power and has a very smooth ride. She especially enjoys the sun roof which is a very nice feature on the car.
Rogue,Cars,This is my second rogue and this year the design has really improved. Quality leather good sound system the back up camera has incredible clarity. I am so impressed with all of the safety features. If I had one complaint it would be that the floor mats are not super durable. I would definitely upgrade or have them throw in an all weather mat. This car is very quiet and handles very well. I love the on the fly traction control for all types of weather. Too many good things to write about!
Rogue,Cars,"Hate the side mirrors, bring back or move them forward.
Bring back the movable rear seat. We used it pushed all the way forward for our dog.
Bring back the rear under floor storage, the same size as the 2018 model."
Rogue,Cars,I have been very impressed with the new Rogue.  I love the new features of this SL model and look forward to many years of problem free driving.  The increased size of the 2021 model provides many Murano like features at a greatly reduced price.
Rogue,Cars,"Had this car 3 months it’s my 3rd Rogue. Monitor not working, no radio, gps iPhone connect charging backup cameras, weird noise, flashing Nissan logo, it’s been 2 months, they cannot find the part anywhere! Nissan consumer affairs have stopped calling to give updates, but yet want you to pay your monthly payment for a new car that’s not 100%
Beware if you buy they cannot fix it, you’ll be stuck with a LEMON!"
Rogue,Cars,Love the improvements made in the 2021 model year. Exterior is sporty and aggressive.  Interior is refined and well appointed.  Great easy to use features
Rogue,Cars,Traded my 2018 for this new design and interior concept. Love it. The 18 inch tires makes a smooth consistent ride. The design in and out is classic gold.
Rogue,Cars,"This car is perfect for me. The doors are tall and easy for me to get in and out of even with arthritis. It has a lot pep. The interior is comfortable. I love the changes on this newer model. Cup holders are more accessible,  the car is a little larger than previous models and the safety features are top notch."
Rogue,Cars,"I bought this car for the safety features. Blind spot warning, forward warning collision, rear emergency braking, rear cross warning, and more,

I really love all these features"
Rogue,Cars,"This car meets all my needs for roominess, easy to navigate. The only thing it's missing is a trunk opener on the fob. If it had that the car would be perfect."
Rogue,Cars,I chose this car because of the headroom when I got in and out of it. Car rides quiet and has all the accessories that I need.
Rogue,Cars,Car has many features that I was looking for.  Comfortable ride and easy to handle.  Controls are easy to reach and understand.  Video provided by Nissan is a great help in understanding the systems.
Rogue,Cars,This Rogue is the best I've owned and I can't wait to start driving it. It has all of the features that I want and need.
Rogue,Cars,I am currently on my second rogue. The first one lasted me 10 years with only normal wear and tear. This second one had me feeling equally as excited when I test drove it. So far it is more than  exceeding my expectations!
Rogue,Cars,This is so roomy and drives so smooth.  I love it.  It is a great color and so easy to drive and learn all the features!!
Rogue,Cars,"Problem with the AC, the temperature cannot be controlled, it comes out hot from the driver's fans and I took it to the dealer and they told me that it was designed to work that way, which is normal, it drives me crazy. I've tried to get the problem solved but until now they say it's normal and bought a dozen new cars and it's the first time this has happened to me with a 42-mile car"
Rogue,Cars,"Rogue with Platinum trim (top of the line) is beautiful inside and out. The backup camera with side and top view is a big help. Plenty of acceleration. Only driven 1,000 mi but fuel mpg is around 31. Disappointed that garage door opener wasn't included. Living in AZ, vented or a/c seats would have been great. Many helpful electronics. I would buy again."
Rogue,Cars,"It dies 3 times on us!  First time after we bought,  15 minutes away from the dealership. They allegedly fixed it.  2nd time, 20 minutes we picked up it died again for the same mechanical electrical issues!! 3 times is a strike!  After pick up again they told me a Nissan engineer worked on the car and it was SAFE to drive!!  It WASN'T!!! It died an hour later in a middle of an intersection where I almost got tbone by a semitruck!!!! Good Samaritans tried to moved the car from the road.  Not even the neutral was working!  It took several strong men to move it out of the intersection and calmed down until my husband arrived!  It was a horrible nightmare!  The dealership didn't take responsibility or ownership of the problem. So now Nissan Corp needs to do it right! We lost of trust!! You put me in danger!"
Rogue,Cars,"THIS TRUCK  TAKES SOME GETTING USED TO. HAVEN'T HAD A NEW ONE IN 14 YEARS,  LOTS OF BELLS AND WHISTLES BUT I WILL LEARN VERY QUICLY WITH MY HANDY MANUAL."
Rogue,Cars,Very dependable and love the leg room and the new wider doors. Overall performance is excellent. Interior design is very colorful and cargo space is what I needed.
Rogue,Cars,This car meets all my needs.  It drives so smooth and has all the items that I wanted.  The new design made me stay with the Rogue.
Rogue,Cars,"This car has lots of space and leg room.
The ride is smooth , quiet and has tons of safety features.
Overall very satisfied of the quality of Nissan Rogue!"
Rogue,Cars,It's enjoyable and fun driving. What can I say but a wise choice and the gas per gallon is a real plus out on the road
Rogue,Cars,"Love this car.  This is my 4th Rogue.  They are reliable and and great car
for the money.   Mileage for an SUV is pretty good."
Rogue,Cars,"I've owned a Rogue before and it was not near as comfortable and sporty as my new one.  Plenty of comfort, and get up and go!  And the gas mileage is much better this time."
Rogue,Cars,So far I love this car! It’s sporty and so nice looking. Fun to drive! Love the huge sunroof. Very comfortable and plenty of power.
Rogue,Cars,"It’s unique appearance, and quiet ride are quite impressive. The driver assist features, and technology, along with the front, rear, and 360 degree camera views are amazing. Did I mention the Apple Car  Play & stereo? Great decision!"
Rogue,Cars,"The 2021 Rogue is very smooth to drive and new features make it an awesome experience. 
The new all-around camera makes parking so easy it’s feel like freedom."
Rogue,Cars,"Before purchasing my 2021 Nissan Rogue SV I was driving a 2013 Toyota RAV4 with all-wheel drive. While the Toyota RAV4 was a good car the 2021 Nissan Rogue is so much better. The car looks good on the inside, looks good on the outside and I have gotten lots of compliments about it. It handles great and the pro pilot assist is awesome to use and the warranty is impressive. I would recommend it to anyone who has not driven this car to test drive one for yourself I believe you will be impressed to the point of buying one if you're in the market for a new car."
Rogue,Cars,"Can’t speak to reliability since I just bought mine.  It’s an SL AWD in Boulder gray.  I absolutely love it, maybe more than any car I’ve ever owned - and I’ve owned a lot of cars.  Styling is superb, comfortable, electronics seem great!  Love the lane departure warning/ assist.  The interior trim really looks like a lot more expensive car.  I’m male and I like that the new rogue looks a lot more aggressive, especially from the front.  Only option I generally get that this car lacked is nav, which I never used anyway.  I had not seen one of the 21 models until two days ago, really stopped me in my tracks.  Last thing I must say: when I shut my door, it doesn’t take a lot of effort and the door sounds a bit like a safe shutting.  Solid."
Rogue,Cars,"This car does everything well. It’s very comfortable and good on gas my only complaint is it lacks power. The seats are very comfortable, it’s very good on gas and the safety features are awesome"
Rogue,Cars,"The exterior is aggressive looking and modern.  The interior is full of high end tech, quality finishing and comfortable.  It's my wife's car, I am 6 foot and 350 pounds who loves his room and V6 engine.  This car has ample room for me and believe it or not, I am impressed with the efficiency of it's 182 hp v-4"
Rogue,Cars,"This is my 3rd Rogue! I absolutely love the Nissan Rogue! The 2021 design is awesome! Love it, love it, love it! Thank you Drivers Village Nissan/Heather C."
Rogue,Cars,"I love this vehicle. Handles easily. The front screen is great dont have to put my phone up anymore 
Apps viewable on screen.
Great space for kids and their luggage."
Rogue,Cars,"We sought after the champagne color and finally found one, It is a show stopper, we are previous Rogue owners and just love everything about it."
Rogue,Cars,"Inside and outside it is great. Inside a lot of space. Feels more luxurious than sport, nice features on the SV version, similar and some additional to the Rav-4 and some like the speed change behind the wheel as the lexus NX-300.
The autopilot that stays in the lane and adjust the speed to a slower front car. You only have to stay awake."
Rogue,Cars,"New design is classic and functional. All safety features I was looking for were standard and the 21 Rogue is comfortable and economical. The inside is roomy,  thoughtfully designed, and fun to drive. The safety features are impressive."
Rogue,Cars,I love the exterior of the car and the wheels are really awesome too!! The interior is very comfortable and the back seat seems very roomy too!! Can’t wait to know my car more !!!
Rogue,Cars,"Beautiful, roomy vehicle! Big vehicle, for  little money. This SUV has class written all over it! Extensive look of class and sleekness.  It holds stunning decor beautifully."
Rogue,Cars,This car is very spacious and comfortable. I love how they design the interior. My favorite part is the panoramic moonroof. It has met all my expectations.
Rogue,Cars,"The car is quieter and smoother riding than the 2018 Rogue I turned in. I love the features, although I'm still learning to use them."
Rogue,Cars,My wife owned a 2019 Nissan Rogue and I fell in love with the new design. It is an amazing improvement over an already great car!
Rogue,Cars,"I totally love my new car! They redesigned the 2021 Nissan Rogue, and it has all the features I was looking for in my new car."
Rogue,Cars,"We just leased our 4th Rogue - love it!! Comfortable, great on gas, easy to drive. Would def recommend! Not once have we had any weather related issues with this truck. The 2021 is so much fun to drive"
Rogue,Cars,Transmission CVT not good  most Nissan car now have Cvt not reliable. Very expensive to fixed .Same problem and Nissan don’t do anything about CVT .
Rogue,Cars,The car is completely comfortable and drives very well and it is easy to use and the dealership was very helpful and very easy to work with
Rogue,Cars,Awesome Best suv i ever drove from day one drove quite an amount of miles  that day to ride Very comfortable and an awesome ride
Rogue,Cars,"The 2021 Rogue technology is outstanding! The Navigation Screen is superb and the craftsmanship blew me away! I was going to purchase a 2020, but opted in for the 2021...Glad I did...it will be delivered to my home in a few days! I remain a Rogue fan as it just gets better and better."
Rogue,Cars,It's styling is average since all new vehicles this style basically look the same. It's comfortable and rides decent.. better than previous years. The shifter design is a ridiculous setup and unnecessary. The stereo screen design is just plain ugly and stupid. Totally ruins the interior look. Constantly wiping off finger prints. Sunlight makes it impossible to see. The vehicle is LOADED with a confusing menu. The Bluetooth doesn't shut up. It just keeps going on and on with jibberish when trying to make a call. Totally unnecessary. The upholstery design is decent with 2 tone style but the ugly cheap and horrid line pattern on the seats and doors is a down right afterthought. Also a laundry list of electrical and computer issues. The engine runs loud and sounds like an older diesel truck Don't be fooled by the new commercial on tv.. this vehicle has a long way to go to be average.
Rogue,Cars,"This car is smooth, comfortable, great 360* cameras. I love it. The two tone color looks sleek. The heated seats and steering wheel are so nice."
Rogue,Cars,I am completely in love with my Platinum Trim Nissan Rogue. It has all the bells and whistles in it and I couldn’t be happier! The Boulder Gray Pearl/ Black color is beautiful! I would recommend this car to anyone! Sooo happy with my car choice and purchase!
Rogue,Cars,Great technology in features provided. Styling is impressive. Car looks great both inside and outside. Pricing was very competitive when compared to other car brands with vehicles in this class.
Rogue,Cars,Review is for 2021 Rogue SL AWD with the Premium package. Looks - get the 2 tone it's so good looking and the body style redesign is fantastic. Bose audio is outstanding (only available with Premium or Platinum). Lots of tech... Be prepared that this vehicle is DIFFERENT. Driving is with a knob and more buttons and switches. This is my 3rd Rogue and I love them but you need to test drive it first to make sure you are okay with the new way to drive it! Cargo area is smaller than my 2018 but I'm okay with that... Lots of room if you fold down the back seats which is easier now. Divider between driver and passenger takes getting used to... Not sure if that's an improvement because the open space under the center divider could be easy to get your hand stuck in. The button placements are much better now but the start button doesn't illuminate so make sure you set your interior lights properly so you can see the button. Overall I'm really loving it but it might not be roomy enough for every driver.
Rogue,Cars,My new one has leather which allows me ease of getting in & out as I have a bad knee. It has so many safety features. Very very comfortable seats.
Rogue,Cars,"Beautifully redesigned,  very quiet and smooth ride.  Love the safety features,  great gas mileage.  The technology can be a bit intimidating at first but definitely worth the effort to adjst."
Rogue,Cars,"It is very comfortable. Love the heated seats and steering wheel. Very quiet inside. I’m most impressed by the safety features of the vehicle. Bird’s eye view cameras, blind spot notification, as well as assistance if swerving into another lane. Very excited about this vehicle."
Rogue,Cars,Just love driving this vehicle! It's so comfortable and easy to drive. Has all the bells and whistles I wanted in a car in Northeast Wisconsin - can't beat the heated seats and steering wheel!
Rogue,Cars,"This car meets all my needs. Has a good price, reliable, propilot assist, cameras, SOS. NissanCOnnect, Sunroof... many more feature for the MSRP. Will highly recommend this car."
Rogue,Cars,"This car exceeds our expectations and is a great experience to drive, the comfort is beyond words to explain. Sales person is a plus for your company."
Rogue,Cars,"Very well designed, with plenty of features included in a base price. Excellent value for the money. Performance is outstanding, comfortable, and quiet. The luxury feels and look for the competitive price."
Rogue,Cars,Some of the great features are more room for passengers plenty of storage. Easy drive overall comfortable.great color. Backup screen is very clear.If you have a chance to visit this your Nissan dearship test drive this car.
Rogue,Cars,Excellent car fully loaded good on gas it has remote starter heated seats sunroof nice rims my phone was very easy to connect all leather interior.
Rogue,Cars,This is my first car but I am so glad I got this one. It’s very nice and feels extremely luxurious. All the technology is easy to use and makes the car all that much better.
Rogue,Cars,"Yesterday (11/29/2020) my sister bought a brand-new 2021 Nissan Rogue. She was upgrading from an old Toyota Highlander and wanted a more fuel efficient SUV, and fell in love with the 2021 Rogue's styling. When she bought it she was impressed! I was told that Nissans last forever and I can agree as my dad owns a 2010 Frontier with 180,000 miles (11/2020) that still runs like it's 2010. We love Nissans! (Also, if you're going to write a review on a car on this site, please don't talk about the dealer, there is another section on this site that allows you to review dealers.)"
Rogue,Cars,"It’s early in my purchase, however I feel that I’m going to enjoy it.  It definitely has a lot of new features that I’m going to have to get familiar with."
Rogue,Cars,"I test drove the Rav4, CR-V, and the Rogue.  The Rogue blew away the competition so we bought it!  It's got the best seats, best interior, and quietest ride of the three.  Nissan really knocked this one out of the park."
Rogue,Cars,This car seems to have more room up front.   Very comfortable.  I like that the display screen is larger. The back up camera is clearer and easier to see
Rogue,Cars,"It has plenty of leg room specially for the person sitting behind me, the interior look luxurious, plus it come with a bunch of nice gimmicks you guys need to go and see this car me telling about it doesn't do it justice"
Equinox,Cars,"This is the third Equinox that I have leased.  Had a 2015, 2018 and now a 2021.  Great vehicle.  I love it.  Best decision I ever made."
Equinox,Cars,It has everything we need in it it is the largest vehicle I have ever had I usually drive Chevy cars but I am truly enjoy it and it fits all of our needs
Equinox,Cars,This car has all the options we were looking for plus more. It is comfortable and meets all of our needs. It is nice and easy to drive.
Equinox,Cars,"Great SUV with super tech components and seating!  Smooth ride, great pick-up, and a/c are perfect throughout the car!  Our first Equinox was Champagne color. Now we have Pearl Black! So sleeeek!"
Equinox,Cars,"This vehicle has some safety and comfort features that we haven't had before.   At first it seemed like chimes were ""always"" going off.  With some help from Hawkins Chevrolet staff, our salesperson Troy Sunken and another staff person Nick, I have learned to manage the chimes.  The mpg is better than any other Equinox we've had.   Overall, it is a great vehicle.   Our grandchildren said of the back seat, ""It is more comfortable than the previous one.""  So far we are very happy with our purchase."
Equinox,Cars,"This car fits my needs. I find it easy to drive and to park. The sight lines are good. It has good acceleration, and I like the interior design."
Equinox,Cars,This is the 3rd Equinox I have owned and the improvements they keep making are incredible.  I especially have always like the power lift gate. I will be an Equinox customer for as long as they keep making them.
Equinox,Cars,The suv is great. My dog has his spot already picked out. I love the room it has and it drives really nice. I love being able to see the road better
Equinox,Cars,I love everything about my new bowtie and very happy to have gone with a Chevy this time around.  Love the color ice metallic and love the blue jeans inspired interior and love how the body style is derived from the El Camino!
Equinox,Cars,"I have owned this vehicle for less than 2 weeks, so the car and I are still getting acquainted with each other. Although the ride could be more smooth, the car is performing well and I believe it is a good value for the price point. Key features  that appealed to me:  the car is easy to get in & out of plus the gauges & screen graphics are an optimum size for viewing. The car has ample leg room for both the driver and passengers. The Equinox is not too big or too small—just a great Goldilocks size for maneuverability. Happy owner so far!"
Equinox,Cars,"Fun to drive, lots of great features, quiet cabin. Inside isn’t overly fancy, but functional. Turbo boost gives it a little more get up and go compared to other engines this size. Love driving again!"
Equinox,Cars,I absolutely love this car! I have never owned a brand new car and this one fits all my needs. Lots of room to put stuff for my toddler. Drives nicely
Equinox,Cars,This car is very unstable when driving.  I have previously leased a 2018 and a 2019 Equinox and was fairly happy.  The 2021 is a nightmare and the dealership keeps telling me nothing is wrong.
Equinox,Cars,"Looks great, meet all of our needs. Look forward to driving it on trips.  We really like the color and the way it handles on the road."
Equinox,Cars,I love the way you can see everything around him very little blind spots but I’m having a problem with my car engine light is coming on haven’t had it for about three months for some reason or another I’m losing power tried to go up a bridge and I could’ve got out and pushed it up there faster somethings definitely going on I just don’t want to be called I’ve been a lemon now I’m really worried about my car And when you push the gas it just loses power and jerks
Equinox,Cars,"Handles well, comfortable, roomy and easy to drive. Rides high up off the ground, while yet close to the road.  I am not sure about much else."
Equinox,Cars,"Show many new upgrades on the new equinox . It’s a beautiful car it’s so comfortable. It has a phone charging pad, navigation I got the leather package the seats are so comfortable I just really love this SUV."
Equinox,Cars,"This is a great replacement for a van that was now too large. Still able to carry 5 passengers in comfort. The van was good but no longer needed 7 passenger capacity.  Love the new features on the Equinox, still getting used to them. Great vehicle so far."
Equinox,Cars,"Plenty of room, everything easily within reach, lane warning, too close warning, back up camera, strong air movement from the ac, plenty of usable seat adjustments, gas mileage good."
Equinox,Cars,"This the only kind of vehicle I will buy. I have owned many in the past, never had problems. Recommend great family sized suv. Priced just right."
Equinox,Cars,"After owning my Ford Escape for over five years, I was in the market for a new daily driver. My husband had just purchased his first Silverado and we were in love with the Chevy so we went to check out a used 2017 Equinox. I loved it. The change of heart came with the amazing rebates that let me walk away from my Escape free and clear with ZERO negative equity. The Equinox has plenty of room for my quickly growing boy and husband who is over six foot tall. We took it on a trip a week after purchase and it was the best ride I think I've ever taken. I couldn't be happier."
Equinox,Cars,This car met all of my needs... very convenient and comfortable and easy to drive all power...and I got what I want for a car.
Equinox,Cars,We had to take it for service three times. I’m worried it’ll cause us some more problems and will cost us money in the future.
Equinox,Cars,"The Equinox is very comfortable and easy to drive. It has great features for someone that has to travel a lot for work. I am pleasantly surprised, it was not my first choice prior to going to the dealership."
Equinox,Cars,"We bought a 14 Equinox in 2015. Very reliable vehicle, great gas mileage. Lots of room compared to the other crossovers we looked at. We knew what we wanted when we bought the 21 and we were not disappointed."
Equinox,Cars,This car is perfect for my lifestyle. I travel quite often and it is comfortable wi thg h plenty of space for my luggage. It gets great  gas mileage and is always reliable.
Equinox,Cars,"This car is absolutely AMAZING!! I love this car! It’s perfect for me and my kids! I love the smooth ride, I find myself feeling like a celebrity in it! It’s cheap on gas and all the fancy gadgets makes this purchase worth it!"
Equinox,Cars,"Due to services , I had also driven 4 different model of the Equinox. Each of the 4 were a little different, but i liked the size and models."
Equinox,Cars,"This car satisfies my needs.  It has enough bells and whistles to occupy my curiousity.  For a person my size, I find my vehicle very comfortable."
Equinox,Cars,"Car is performing great and getting great gas mileage, happy with our purchase. Has a lot of premium features, dual sunroof, leather seats, and premium paint."
Equinox,Cars,"The car has everything you need.  I am so excellent that I brought this car. Seat are comfortable, rides smooth.  You can talk about this vehicle  all day and night and still couldn't cover had nice it is."
Equinox,Cars,"So far so good.  I’ve really been enjoying driving my new car. I have a lot to learn about it since the technology is newer than I am used to, but it’s very comfortable.  It feels safe and reliable."
Equinox,Cars,"So far we love our new Equinox, not too big, yet very roomy inside.  Many great features including lane change warnings.  The fit and finish is first-rate and the design is user-friendly and intuitive. All controls are within easy reach of the driver.  A good car for a good price."
Equinox,Cars,"Great look, comfortable, easy to operate and very impressed with 4 cylinder turbo. 
I opted for LS with conv. Package and was impressed with features and price!!!"
Equinox,Cars,"Love it so far.  Room, great gas mileage! It is exactly what I was looking for in an SUV without getting into a larger category of vehicle.  Great value for the money!"
Equinox,Cars,"Meets or exceeds all my expectations.  I drive a lot and I need a vehicle I can be comfortable in and that is economical, this meets both requirements."
Equinox,Cars,"I’ve have owned  a Trailblazer, feel this Equinox is a step above. 
Once I get used to all the “bells & whistles” it’ll be perfect."
Equinox,Cars,"We were thinking about buying an Equinox for a while. After test driving it and seeing all  the technology that it has, really an easy decision to purchase a new one. Great looking car with great gas mileage and surprising  acceleration."
Equinox,Cars,This vehicle met all the specific and basic things I was looking for in purchasing a new SUV of any make or model. It was the only dealership in a 50mile radius of me that offered this particular model of an Equinox I was looking for 2021 Chevy Equinox Midnight Edition.
Equinox,Cars,Car was great lots of options that you would find on a car costing a lot more auto dimming head lights speed sensitive cruise control
Equinox,Cars,"This car has a very positive impact on our lives, truly beautiful piece of workmanship by General Motors, comfortable and relaxing to drive; be careful of what you sign up for during your purchase. Because of the Technical gifts in the car and no ability (tech) made the price jump considerably to ensure proper care of vehicle and handling of the tech side."
Equinox,Cars,I previously owned a Traverse and I wanted a slightly smaller car.  The Equinox meets all of my needs.  Extremely quiet vehicle.  I like all of the safety features
Equinox,Cars,Very nice handling and tons of room. Love the color and gets great gas mileage. Has tons of cargo room and was priced very reasonable.
Equinox,Cars,"We are enjoying our new Equinox. Love the styling. The storage compartment in the console is higher than in my last vehicle, so my elbow knocks into it when I use cup holders. This will not be a problem as I get used to it being there."
Equinox,Cars,It is the best vehicle I looked at and I love all its features.  Lots of leg room and cargo space.  It will meet all my future needs.  It is easy to get in and out of and this was a big thing for us as we age.
Equinox,Cars,This SUV has plenty of room for our family of four as well as diaper bags and a stroller.  We are pleased with the price as well as the interior and exterior appearance.  We would recommend this vehicle to family and friends.
Equinox,Cars,"For seen future lemon problems just like the 2010-2013 equinox and chevy will not stand by it Trust me.Have a 17 Arcadia that's heading that way now I own 2 Dodges too those are driven more than the Chevy's, they are trustworthy"
Equinox,Cars,"This car all of my dreams I’ve never owned a brand new car lot of room absolutely love it 
Now I can a comfortable road trip"
Equinox,Cars,Well equipped. Car has a lot of safety and convenience features.  Driving is easy. Quiet and roomy . Good mileage. Pleasure to drive. Fits my needs.
Equinox,Cars,"Between the two of my choice and research; the Equinox was the higher rated in many areas, as well as lower cost.  And the Boucher dealership was friendlier and attentive compared to the other vehicle and dealer."
Equinox,Cars,I wanted a SUV many years ago.... I've looked at other vehicles over the years  but keep coming back to the Equinox!  I love the style and plenty of room for family. It comes standard now with all the newest safety features and is so reliable.  Technology is so easy to adapt to any phone Apple or Android!
Equinox,Cars,This car has all the features I was looking for. Very pleased with the AWD feature.  Like the color too. Handles very good and is comfortable to drive
